Threshold,Precision,Recall,F1,Approval_Rate,Flagged_High_Risk_Rate
0.1,0.3415032679738562,0.920704845814978,0.49821215733015495,0.41760507533703406,0.5823949246629659
0.15,0.46335403726708074,0.8215859030837004,0.5925337569499602,0.6169706582077716,0.3830293417922284
0.2,0.5693889206167904,0.7320117474302497,0.6405396723417924,0.722283901665345,0.27771609833465505
0.25,0.6586231369765791,0.6813509544787077,0.669794298087333,0.7765265662172879,0.22347343378271214
0.3,0.7262200165425972,0.644640234948605,0.6830027226760016,0.8082474226804124,0.19175257731958764
0.35,0.7982283464566929,0.5954478707782672,0.6820857863751051,0.8388580491673275,0.1611419508326725
0.4,0.8685714285714285,0.5580029368575624,0.6794814483683504,0.8612212529738303,0.1387787470261697
0.45,0.9151670951156813,0.5227606461086637,0.6654205607476635,0.8766058683584457,0.12339413164155433
0.5,0.9575070821529745,0.49632892804698975,0.6537717601547389,0.8880253766851705,0.1119746233148295
0.55,0.9819819819819819,0.4801762114537445,0.6449704142011834,0.8943695479777954,0.1056304520222046
0.6,0.989010989010989,0.46255506607929514,0.6303151575787894,0.8989690721649485,0.10103092783505155
0.65,0.998389694041868,0.4552129221732746,0.6253151790216843,0.9015067406819984,0.09849325931800158
0.7,0.9983471074380166,0.4434654919236417,0.614133197763091,0.9040444091990484,0.09595559080095163
0.75,1.0,0.4412628487518355,0.6123280692817117,0.9046788263283109,0.09532117367168913
0.8,1.0,0.4368575624082232,0.6080735820132857,0.9056304520222046,0.0943695479777954
0.85,1.0,0.4302496328928047,0.6016427104722792,0.9070578905630452,0.0929421094369548
