Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Gradient Boosting,0.8864393338620142,0.9575070821529745,0.49632892804698975,0.6537717601547389,0.8793372196342267,0.7857502870460831
Random Forest,0.8850118953211736,0.9026548672566371,0.5242290748898678,0.6632605666511844,0.8789484261550844,0.784131132478477
Decision Tree,0.8607454401268835,0.7141592920353982,0.5925110132158591,0.6476725521669342,0.8475585700480338,0.7245592951528679
Logistic Regression,0.7430610626486915,0.4410958904109589,0.7092511013215859,0.543918918918919,0.8111280640416756,0.6123279666547978
